TaxonOriginal,TaxonFloraVeg,Status,RegionFloraVeg,TaxonKaplan
Salix retusa,Salix retusa,LC,Slovakia,Salix retusa
Salix rosmarinifolia,Salix repens subsp. rosmarinifolia,NT,Slovakia,Salix rosmarinifolia
Salix starkeana,NA,EN,Slovakia,Salix starkeana
Salix starkeana,Salix starkeana,EN,Slovakia,Salix starkeana
Salvia aethiopis,Salvia aethiopis,NT,Slovakia,Salvia aethiopis
Salvia austriaca,Salvia austriaca,NT,Slovakia,Salvia austriaca
Salvinia natans,Salvinia natans,LC,Slovakia,Salvinia natans
Samolus valerandi,Samolus valerandi,RE,Slovakia,Samolus valerandi
Saussurea alpina,Saussurea alpina,NT,Slovakia,Saussurea alpina
Saussurea discolor,Saussurea discolor,NT,Slovakia,Saussurea discolor
Saussurea pygmaea,Saussurea pygmaea,NT,Slovakia,Saussurea pygmaea
Saxifraga adscendens subsp. adscendens,NA,NT,Slovakia,Saxifraga adscendens subsp. adscendens
Saxifraga androsacea,Saxifraga androsacea,LC,Slovakia,Saxifraga androsacea
Saxifraga bryoides,Saxifraga bryoides,LC,Slovakia,Saxifraga bryoides
Saxifraga caesia,Saxifraga caesia,LC,Slovakia,Saxifraga caesia
Saxifraga carpatica,NA,LC,Slovakia,Saxifraga carpatica
Saxifraga cernua,Saxifraga cernua,VU,Slovakia,Saxifraga cernua
Saxifraga granulata subsp. granulata,NA,NT,Slovakia,Saxifraga granulata subsp. granulata
Saxifraga hieraciifolia,Saxifraga hieraciifolia,LC,Slovakia,Saxifraga hieraciifolia
Saxifraga moschata subsp. dominii,NA,LC,Slovakia,Saxifraga moschata subsp. dominii
Saxifraga moschata subsp. kotulae,NA,LC,Slovakia,Saxifraga moschata subsp. kotulae
Saxifraga mutata,Saxifraga mutata,VU,Slovakia,Saxifraga mutata
Saxifraga oppositifolia subsp. oppositifolia,NA,LC,Slovakia,Saxifraga oppositifolia subsp. oppositifolia
Saxifraga retusa subsp. retusa,NA,LC,Slovakia,Saxifraga retusa subsp. retusa
Saxifraga rotundifolia subsp. rotundifolia,NA,LC,Slovakia,Saxifraga rotundifolia subsp. rotundifolia
Saxifraga wahlenbergii,Saxifraga wahlenbergii,LC,Slovakia,Saxifraga wahlenbergii
Scabiosa canescens,Scabiosa canescens,NT,Slovakia,Scabiosa canescens
Scabiosa triandra,Scabiosa triandra,NT,Slovakia,Scabiosa triandra
Scandix pecten-veneris subsp. pecten-veneris,NA,CR,Slovakia,Scandix pecten-veneris subsp. pecten-veneris
Scheuchzeria palustris,Scheuchzeria palustris,EN,Slovakia,Scheuchzeria palustris
Schoenoplectus mucronatus,Schoenoplectus mucronatus,RE,Slovakia,Schoenoplectus mucronatus
Schoenoplectus pungens,Schoenoplectus pungens,DD,Slovakia,Schoenoplectus pungens
Schoenoplectus supinus,Schoenoplectus supinus,VU,Slovakia,Schoenoplectus supinus
Schoenoplectus tabernaemontani,Schoenoplectus lacustris subsp. glaucus,NT,Slovakia,Schoenoplectus tabernaemontani
Schoenoplectus triqueter,Schoenoplectus triqueter,CR,Slovakia,Schoenoplectus triqueter
Schoenus ferrugineus,Schoenus ferrugineus,EN,Slovakia,Schoenus ferrugineus
Schoenus nigricans,Schoenus nigricans,CR,Slovakia,Schoenus nigricans
Scilla bifolia subsp. buekkensis,NA,LC,Slovakia,Scilla bifolia subsp. buekkensis
Scilla bifolia subsp. spetana,NA,DD,Slovakia,Scilla bifolia subsp. spetana
Scirpoides holoschoenus,Scirpoides holoschoenus,NT,Slovakia,Scirpoides holoschoenus
Scirpus radicans,Scirpus radicans,EN,Slovakia,Scirpus radicans
Scleranthus perennis subsp. perennis,NA,EN,Slovakia,Scleranthus perennis subsp. perennis
Scleranthus polycarpos,Scleranthus polycarpos,NT,Slovakia,Scleranthus polycarpos
Scleranthus verticillatus,Scleranthus verticillatus,VU,Slovakia,Scleranthus verticillatus
Scopolia carniolica,Scopolia carniolica,NT,Slovakia,Scopolia carniolica
Scorzonera austriaca subsp. austriaca,NA,NT,Slovakia,Scorzonera austriaca subsp. austriaca
Scorzonera hispanica subsp. hispanica,NA,NT,Slovakia,Scorzonera hispanica subsp. hispanica
Scorzonera humilis,Scorzonera humilis,NT,Slovakia,Scorzonera humilis
Scorzonera parviflora,Scorzonera parviflora,CR,Slovakia,Scorzonera parviflora
Scorzonera purpurea,Podospermum purpureum,NT,Slovakia,Scorzonera purpurea
Scorzonera rosea,Podospermum roseum,CR,Slovakia,Scorzonera rosea
Scrophularia umbrosa subsp. neesii,NA,NT,Slovakia,Scrophularia umbrosa subsp. neesii
Scrophularia umbrosa subsp. umbrosa,NA,NT,Slovakia,Scrophularia umbrosa subsp. umbrosa
Scrophularia vernalis,Scrophularia vernalis,NT,Slovakia,Scrophularia vernalis
Scutellaria altissima,Scutellaria altissima,EN,Slovakia,Scutellaria altissima
Scutellaria hastifolia,Scutellaria hastifolia,NT,Slovakia,Scutellaria hastifolia
Sedum annuum,Sedum annuum,VU,Slovakia,Sedum annuum
Selaginella helvetica,Selaginella helvetica,NT,Slovakia,Selaginella helvetica
Sempervivum carpathicum subsp. heterophyllum,NA,VU,Slovakia,Sempervivum carpathicum subsp. heterophyllum
Sempervivum matricum,NA,VU,Slovakia,Sempervivum matricum
Senecio abrotanifolius subsp. carpathicus,NA,LC,Slovakia,Senecio abrotanifolius subsp. carpathicus
Senecio doria,Senecio doria,NT,Slovakia,Senecio doria
Senecio erucifolius,Jacobaea erucifolia,NT,Slovakia,Senecio erucifolius
Senecio incanus subsp. carniolicus,NA,LC,Slovakia,Senecio incanus subsp. carniolicus
Senecio paludosus subsp. angustifolius,NA,EN,Slovakia,Senecio paludosus subsp. angustifolius
Senecio paludosus subsp. lanatus,NA,RE,Slovakia,Senecio paludosus subsp. lanatus
Senecio paludosus subsp. paludosus,NA,CR,Slovakia,Senecio paludosus subsp. paludosus
Senecio rupestris,Senecio squalidus subsp. rupestris,RE,Slovakia,Senecio rupestris
Senecio sarracenicus,Senecio sarracenicus,NT,Slovakia,Senecio sarracenicus
Senecio sarracenicus,NA,NT,Slovakia,Senecio sarracenicus
Senecio ucranicus,Senecio hercynicus subsp. ucranicus,NT,Slovakia,Senecio ucranicus
Senecio umbrosus,Senecio umbrosus,LC,Slovakia,Senecio umbrosus
Serratula lycopifolia,NA,CR,Slovakia,Serratula lycopifolia
Seseli hippomarathrum,Seseli hippomarathrum,NT,Slovakia,Seseli hippomarathrum
Seseli pallasii,Seseli pallasii,EN,Slovakia,Seseli pallasii
Sesleria heufleriana subsp. heufleriana,NA,NT,Slovakia,Sesleria heufleriana subsp. heufleriana
Sesleria heufleriana subsp. hungarica,NA,DD,Slovakia,Sesleria heufleriana subsp. hungarica
Sesleria sadleriana,Sesleria sadlerana,CR,Slovakia,Sesleria sadleriana
Sesleria uliginosa,Sesleria uliginosa,VU,Slovakia,Sesleria uliginosa
Sibbaldia procumbens,Sibbaldia procumbens,CR,Slovakia,Sibbaldia procumbens
Silaum silaus,Silaum silaus,NT,Slovakia,Silaum silaus
Silene acaulis subsp. exscapa,NA,LC,Slovakia,Silene acaulis subsp. exscapa
Silene acaulis subsp. longiscapa,NA,LC,Slovakia,Silene acaulis subsp. longiscapa
Silene borysthenica,Silene borysthenica,EN,Slovakia,Silene borysthenica
Silene bupleuroides subsp. bupleuroides,NA,EN,Slovakia,Silene bupleuroides subsp. bupleuroides
Silene conica subsp. conica,NA,NT,Slovakia,Silene conica subsp. conica
Silene cretica,Silene cretica,RE,Slovakia,Silene cretica
Silene cretica,NA,RE,Slovakia,Silene cretica
Silene dichotoma,Silene dichotoma,LC,Slovakia,Silene dichotoma
Silene donetzica,Silene donetzica,NT,Slovakia,Silene donetzica
Silene gallica,Silene gallica,CR,Slovakia,Silene gallica
Silene multiflora,Silene multiflora,EN,Slovakia,Silene multiflora
Silene nutans subsp. dubia,NA,CR,Slovakia,Silene nutans subsp. dubia
Silene otites subsp. hungarica,NA,NT,Slovakia,Silene otites subsp. hungarica
Silene otites subsp. otites,NA,NT,Slovakia,Silene otites subsp. otites
Silene viridiflora,Silene viridiflora,NT,Slovakia,Silene viridiflora
Silene viscosa,Silene viscosa,EN,Slovakia,Silene viscosa
Sisymbrium austriacum subsp. austriacum,NA,VU,Slovakia,Sisymbrium austriacum subsp. austriacum
Smyrnium perfoliatum,Smyrnium perfoliatum,NT,Slovakia,Smyrnium perfoliatum
Solanum villosum,Solanum villosum,NT,Slovakia,Solanum villosum
Soldanella carpatica,Soldanella carpatica,LC,Slovakia,Soldanella carpatica
Soldanella hungarica subsp. hungarica,NA,LC,Slovakia,Soldanella hungarica subsp. hungarica
Soldanella hungarica subsp. major,NA,LC,Slovakia,Soldanella hungarica subsp. major
Soldanella pseudomontana,Soldanella pseudomontana,CR,Slovakia,Soldanella pseudomontana
Sonchus arvensis subsp. uliginosus,NA,DD,Slovakia,Sonchus arvensis subsp. uliginosus
Sonchus palustris,Sonchus palustris,NT,Slovakia,Sonchus palustris
Sorbus amici-petri,NA,EN,Slovakia,Sorbus amici-petri
Sorbus atrimontis,NA,EN,Slovakia,Sorbus atrimontis
Sorbus caeruleomontana,NA,CR,Slovakia,Sorbus caeruleomontana
Sorbus chamaemespilus,Sorbus chamaemespilus,NT,Slovakia,Sorbus chamaemespilus
Sorbus diversicolor,NA,VU,Slovakia,Sorbus diversicolor
Sorbus dolomiticola,NA,EN,Slovakia,Sorbus dolomiticola
Sorbus graeca,Sorbus graeca,CR,Slovakia,Sorbus graeca
Sorbus haljamovae,NA,VU,Slovakia,Sorbus haljamovae
Sorbus hazslinszkyana,Sorbus austriaca subsp. hazslinszkyana,VU,Slovakia,Sorbus hazslinszkyana
Sorbus margittaiana,NA,VU,Slovakia,Sorbus margittaiana
Sorbus montisalpae,NA,VU,Slovakia,Sorbus montisalpae
Sorbus pekarovae,Sorbus pekarovae,EN,Slovakia,Sorbus pekarovae
Sorbus salatini,NA,CR,Slovakia,Sorbus salatini
Sorbus scepusiensis,NA,CR,Slovakia,Sorbus scepusiensis
Sorbus zuzanae,NA,VU,Slovakia,Sorbus zuzanae
Sparganium angustifolium,Sparganium angustifolium,EN,Slovakia,Sparganium angustifolium
Sparganium natans,Sparganium natans,EN,Slovakia,Sparganium natans
Sparganium natans,NA,EN,Slovakia,Sparganium natans
Spergula maxima,NA,RE,Slovakia,Spergula maxima
Spergula morisonii,Spergula morisonii,VU,Slovakia,Spergula morisonii
Spergula pentandra,Spergula pentandra,CR,Slovakia,Spergula pentandra
Spergularia media,Spergularia media,CR,Slovakia,Spergularia media
Spergularia salina,NA,EN,Slovakia,Spergularia salina
Spiraea crenata,Spiraea crenata,CR(PE),Slovakia,Spiraea crenata
Spiraea media subsp. media,NA,LC,Slovakia,Spiraea media subsp. media
Spiranthes aestivalis,Spiranthes aestivalis,RE,Slovakia,Spiranthes aestivalis
Spiranthes spiralis,Spiranthes spiralis,CR,Slovakia,Spiranthes spiralis
Stellaria longifolia,Stellaria longifolia,EN,Slovakia,Stellaria longifolia
Stellaria palustris,Stellaria palustris,VU,Slovakia,Stellaria palustris
Sternbergia colchiciflora,Sternbergia colchiciflora,CR,Slovakia,Sternbergia colchiciflora
Stipa borysthenica subsp. borysthenica,NA,EN,Slovakia,Stipa borysthenica subsp. borysthenica
Stipa crassiculmis subsp. euroanatolica,NA,CR,Slovakia,Stipa crassiculmis subsp. euroanatolica
Stipa dasyphylla,Stipa dasyphylla,NT,Slovakia,Stipa dasyphylla
Stipa eriocaulis,Stipa eriocaulis subsp. austriaca,VU,Slovakia,Stipa eriocaulis
Stipa eriocaulis,Stipa eriocaulis,VU,Slovakia,Stipa eriocaulis
Stipa pennata,Stipa pennata,NT,Slovakia,Stipa pennata
Stipa pennata,NA,NT,Slovakia,Stipa pennata
Stipa pulcherrima,Stipa pulcherrima,NT,Slovakia,Stipa pulcherrima
Stipa smirnovii,Stipa zalesskii,RE,Slovakia,Stipa smirnovii
Stipa tirsa subsp. tirsa,NA,NT,Slovakia,Stipa tirsa subsp. tirsa
Stratiotes aloides,Stratiotes aloides,NT,Slovakia,Stratiotes aloides
Streptopus amplexifolius,Streptopus amplexifolius,LC,Slovakia,Streptopus amplexifolius
Succisella inflexa,Succisella inflexa,EN,Slovakia,Succisella inflexa
Symphytum angustifolium,NA,LC,Slovakia,Symphytum angustifolium
Symphytum bohemicum,Symphytum officinale,VU,Slovakia,Symphytum bohemicum
Symphytum tanaicense,Symphytum officinale subsp. uliginosum,NT,Slovakia,Symphytum tanaicense
Syrenia cana,NA,CR,Slovakia,Syrenia cana
Taraxacum bessarabicum,Taraxacum besarabicum,EN,Slovakia,Taraxacum bessarabicum
Taraxacum erythrocarpum,Taraxacum erythrocarpum,EN,Slovakia,Taraxacum erythrocarpum
Taraxacum serotinum,Taraxacum serotinum,EN,Slovakia,Taraxacum serotinum
Teesdalia nudicaulis,Teesdalia nudicaulis,VU,Slovakia,Teesdalia nudicaulis
Tephroseris aurantiaca,Tephroseris integrifolia subsp. aurantiaca,NT,Slovakia,Tephroseris aurantiaca
Tephroseris capitata,Tephroseris integrifolia subsp. capitata,NT,Slovakia,Tephroseris capitata
Tephroseris integrifolia,Tephroseris integrifolia,NT,Slovakia,Tephroseris integrifolia
Tephroseris longifolia subsp. moravica,NA,EN,Slovakia,Tephroseris longifolia subsp. moravica
Tephroseris papposa subsp. papposa,NA,EN,Slovakia,Tephroseris papposa subsp. papposa
Tetragonolobus maritimus,NA,NT,Slovakia,Tetragonolobus maritimus
Teucrium montanum subsp. jailae,NA,NT,Slovakia,Teucrium montanum subsp. jailae
Teucrium montanum subsp. pannonicum,NA,NT,Slovakia,Teucrium montanum subsp. pannonicum
Teucrium scordium,Teucrium scordium,NT,Slovakia,Teucrium scordium
Teucrium scorodonia subsp. scorodonia,NA,NT,Slovakia,Teucrium scorodonia subsp. scorodonia
Thalictrum flavum,Thalictrum flavum,VU,Slovakia,Thalictrum flavum
Thalictrum foetidum,Thalictrum foetidum,DD,Slovakia,Thalictrum foetidum
Thalictrum lucidum,Thalictrum lucidum,LC,Slovakia,Thalictrum lucidum
Thalictrum simplex subsp. galioides,NA,VU,Slovakia,Thalictrum simplex subsp. galioides
Thalictrum simplex subsp. simplex,NA,NT,Slovakia,Thalictrum simplex subsp. simplex
Thelypteris palustris,Thelypteris palustris,NT,Slovakia,Thelypteris palustris
Thesium dollineri,Thesium dollineri,VU,Slovakia,Thesium dollineri
Thesium ebracteatum,Thesium ebracteatum,RE,Slovakia,Thesium ebracteatum
Thesium pyrenaicum,Thesium pyrenaicum,RE,Slovakia,Thesium pyrenaicum
Thesium ramosum,Thesium ramosum,DD,Slovakia,Thesium ramosum
Thesium ramosum,NA,DD,Slovakia,Thesium ramosum
Thlaspi alliaceum,Thlaspi alliaceum,RE,Slovakia,Thlaspi alliaceum
Thlaspi caerulescens subsp. caerulescens,NA,DD,Slovakia,Thlaspi caerulescens subsp. caerulescens
Thlaspi caerulescens subsp. tatrense,NA,LC,Slovakia,Thlaspi caerulescens subsp. tatrense
Thlaspi jankae,Noccaea jankae,VU,Slovakia,Thlaspi jankae
Thlaspi montanum,NA,VU,Slovakia,Thlaspi montanum
Thymelaea passerina,Thymelaea passerina,LC,Slovakia,Thymelaea passerina
Thymus alternans,NA,NT,Slovakia,Thymus alternans
Thymus pulegioides subsp. carniolicus,NA,CR,Slovakia,Thymus pulegioides subsp. carniolicus
Tillaea aquatica,Crassula aquatica,CR,Slovakia,Tillaea aquatica
Tilia platyphyllos subsp. sitnensis,NA,DD,Slovakia,Tilia platyphyllos subsp. sitnensis
Tofieldia pusilla,Tofieldia pusilla,VU,Slovakia,Tofieldia pusilla
Tordylium maximum,Tordylium maximum,VU,Slovakia,Tordylium maximum
Torilis arvensis subsp. arvensis,NA,NT,Slovakia,Torilis arvensis subsp. arvensis
Tozzia carpathica,NA,NT,Slovakia,Tozzia carpathica
Tragopogon floccosus,Tragopogon floccosus,RE,Slovakia,Tragopogon floccosus
Tragus racemosus,Tragus racemosus,NT,Slovakia,Tragus racemosus
Trapa natans,Trapa natans,LC,Slovakia,Trapa natans
Traunsteinera globosa,Traunsteinera globosa,NT,Slovakia,Traunsteinera globosa
Tribulus terrestris subsp. orientalis,NA,NT,Slovakia,Tribulus terrestris subsp. orientalis
Trichophorum alpinum,Trichophorum alpinum,EN,Slovakia,Trichophorum alpinum
Trichophorum cespitosum subsp. cespitosum,NA,EN,Slovakia,Trichophorum cespitosum subsp. cespitosum
Trichophorum pumilum,Trichophorum pumilum,EN,Slovakia,Trichophorum pumilum
Trientalis europaea,Trientalis europaea,NT,Slovakia,Trientalis europaea
Trifolium angulatum,Trifolium angulatum,CR,Slovakia,Trifolium angulatum
Trifolium diffusum,Trifolium diffusum,CR(PE),Slovakia,Trifolium diffusum
Trifolium fragiferum subsp. bonannii,NA,NT,Slovakia,Trifolium fragiferum subsp. bonannii
Trifolium orbelicum subsp. monticolum,NA,NT,Slovakia,Trifolium orbelicum subsp. monticolum
Trifolium pratense subsp. kotulae,NA,NT,Slovakia,Trifolium pratense subsp. kotulae
Trifolium retusum,Trifolium retusum,CR,Slovakia,Trifolium retusum
Trifolium romanicum,Trifolium lupinaster,CR(PE),Slovakia,Trifolium romanicum
Trifolium striatum,Trifolium striatum,VU,Slovakia,Trifolium striatum
Trifolium strictum,Trifolium strictum,CR,Slovakia,Trifolium strictum
Triglochin maritima,Triglochin maritima,VU,Slovakia,Triglochin maritima
Triglochin palustris,Triglochin palustris,NT,Slovakia,Triglochin palustris
Trinia glauca subsp. glauca,NA,NT,Slovakia,Trinia glauca subsp. glauca
Trinia ucrainica,Trinia kitaibelii,EN,Slovakia,Trinia ucrainica
Tripolium pannonicum,Tripolium pannonicum subsp. tripolium,EN,Slovakia,Tripolium pannonicum
Trollius altissimus,Trollius europaeus,NT,Slovakia,Trollius altissimus
Turgenia latifolia,Turgenia latifolia,VU,Slovakia,Turgenia latifolia
Typha minima,Typha minima,RE,Slovakia,Typha minima
Typha shuttleworthii,Typha shuttleworthii,CR,Slovakia,Typha shuttleworthii
Urtica kioviensis,Urtica kioviensis,EN,Slovakia,Urtica kioviensis
Utricularia australis,Utricularia australis,LC,Slovakia,Utricularia australis
Utricularia bremii,Utricularia bremii,CR,Slovakia,Utricularia bremii
Utricularia intermedia,Utricularia intermedia,RE,Slovakia,Utricularia intermedia
Utricularia minor,Utricularia minor,EN,Slovakia,Utricularia minor
Utricularia vulgaris,Utricularia vulgaris,NT,Slovakia,Utricularia vulgaris
Vaccaria hispanica subsp. hispanica,NA,CR,Slovakia,Vaccaria hispanica subsp. hispanica
Vaccinium microcarpum,Vaccinium microcarpum,CR,Slovakia,Vaccinium microcarpum
Vaccinium oxycoccos,Vaccinium oxycoccos,NT,Slovakia,Vaccinium oxycoccos
Vaccinium uliginosum subsp. uliginosum,NA,VU,Slovakia,Vaccinium uliginosum subsp. uliginosum
Valeriana dioica,Valeriana dioica,NT,Slovakia,Valeriana dioica
Valeriana simplicifolia,Valeriana dioica subsp. simplicifolia,LC,Slovakia,Valeriana simplicifolia
Valerianella coronata,Valerianella coronata,EN,Slovakia,Valerianella coronata
Valerianella dentata subsp. eriosperma,NA,NT,Slovakia,Valerianella dentata subsp. eriosperma
Valerianella pumila,Valerianella coronata,CR(PE),Slovakia,Valerianella pumila
Ventenata dubia,Ventenata dubia,NT,Slovakia,Ventenata dubia
Veratrum album subsp. album,NA,VU,Slovakia,Veratrum album subsp. album
Verbascum speciosum subsp. speciosum,NA,NT,Slovakia,Verbascum speciosum subsp. speciosum
Veronica acinifolia,Veronica acinifolia,RE,Slovakia,Veronica acinifolia
Veronica agrestis,Veronica agrestis,CR,Slovakia,Veronica agrestis
Veronica anagalloides,Veronica anagalloides,VU,Slovakia,Veronica anagalloides
Veronica catenata,Veronica catenata,VU,Slovakia,Veronica catenata
Veronica jacquinii,Veronica austriaca subsp. jacquinii,CR,Slovakia,Veronica jacquinii
Veronica opaca,Veronica opaca,CR(PE),Slovakia,Veronica opaca
Veronica scardica,Veronica scardica,CR(PE),Slovakia,Veronica scardica
Veronica scutellata,Veronica scutellata,NT,Slovakia,Veronica scutellata
Veronica triloba,Veronica triloba,VU,Slovakia,Veronica triloba
Veronica triphyllos,Veronica triphyllos,NT,Slovakia,Veronica triphyllos
Veronica urticifolia,Veronica urticifolia,VU,Slovakia,Veronica urticifolia
Vicia incana,Vicia cracca subsp. incana,DD,Slovakia,Vicia incana
Vicia lathyroides subsp. olbiensis,NA,DD,Slovakia,Vicia lathyroides subsp. olbiensis
Vicia pisiformis,Vicia pisiformis,NT,Slovakia,Vicia pisiformis
Vicia sparsiflora,Vicia sparsiflora,VU,Slovakia,Vicia sparsiflora
Vicia striata,NA,NT,Slovakia,Vicia striata
Vinca herbacea,Vinca herbacea,VU,Slovakia,Vinca herbacea
Viola alba subsp. alba,NA,NT,Slovakia,Viola alba subsp. alba
Viola alpina,Viola alpina,VU,Slovakia,Viola alpina
Viola ambigua,Viola ambigua,EN,Slovakia,Viola ambigua
Viola dacica,Viola dacica,VU,Slovakia,Viola dacica
Viola elatior,Viola elatior,EN,Slovakia,Viola elatior
Viola epipsila,Viola epipsila,CR,Slovakia,Viola epipsila
Viola kitaibeliana,Viola kitaibeliana,LC,Slovakia,Viola kitaibeliana
Viola lutea subsp. sudetica,NA,LC,Slovakia,Viola lutea subsp. sudetica
Viola palustris,Viola palustris,NT,Slovakia,Viola palustris
Viola pumila,Viola pumila,EN,Slovakia,Viola pumila
Viola rupestris subsp. rupestris,NA,NT,Slovakia,Viola rupestris subsp. rupestris
Viola stagnina,NA,VU,Slovakia,Viola stagnina
Viola stagnina,Viola stagnina,VU,Slovakia,Viola stagnina
Viola tricolor subsp. curtisii,NA,EN,Slovakia,Viola tricolor subsp. curtisii
Viola tricolor subsp. saxatilis,NA,NT,Slovakia,Viola tricolor subsp. saxatilis
Vitis sylvestris,NA,VU,Slovakia,Vitis sylvestris
Vulpia bromoides,Vulpia bromoides,RE,Slovakia,Vulpia bromoides
Waldsteinia geoides,Waldsteinia geoides,LC,Slovakia,Waldsteinia geoides
Waldsteinia teppneri,NA,CR,Slovakia,Waldsteinia teppneri
Waldsteinia ternata subsp. magicii,NA,EN,Slovakia,Waldsteinia ternata subsp. magicii
Wolffia arrhiza,Wolffia arrhiza,VU,Slovakia,Wolffia arrhiza
Woodsia alpina,Woodsia alpina,VU,Slovakia,Woodsia alpina
Woodsia ilvensis,Woodsia ilvensis,VU,Slovakia,Woodsia ilvensis
Xanthium strumarium,Xanthium strumarium,DD,Slovakia,Xanthium strumarium
Xeranthemum annuum,Xeranthemum annuum,NT,Slovakia,Xeranthemum annuum
Xeranthemum cylindraceum,Xeranthemum cylindraceum,VU,Slovakia,Xeranthemum cylindraceum
Alchemilla longana,Alchemilla longana,LC,Austria,Alchemilla longana
Alchemilla longituba,Alchemilla longituba,G,Austria,Alchemilla longituba
Alchemilla lunaria,Alchemilla lunaria,G,Austria,Alchemilla lunaria
Alchemilla matreiensis,Alchemilla matreiensis,G,Austria,Alchemilla matreiensis
Alchemilla maureri,Alchemilla maureri,RE,Austria,Alchemilla maureri
Alchemilla micans,Alchemilla micans,NT,Austria,Alchemilla micans
Alchemilla mollis s.str.,Alchemilla mollis s.str.,n,Austria,Alchemilla mollis s.str.
Alchemilla monticola,Alchemilla monticola,LC,Austria,Alchemilla monticola
Alchemilla nitida,Alchemilla nitida,LC,Austria,Alchemilla nitida
Alchemilla norica,Alchemilla norica,G,Austria,Alchemilla norica
Alchemilla obtusa,Alchemilla obtusa,G,Austria,Alchemilla obtusa
Alchemilla obtusa,Alchemilla obtusa,G,Austria,Alchemilla obtusa subsp. obtusa
Alchemilla obtusa,Alchemilla obtusa,G,Austria,Alchemilla obtusa subsp. trapezialis
Abies alba,Abies alba,LC,Austria,Abies alba
Abutilon theophrasti,Abutilon theophrasti,n,Austria,Abutilon theophrasti
Acer campestre,Acer campestre,LC,Austria,Acer campestre
Acer monspessulanum,Acer monspessulanum,n,Austria,Acer monspessulanum
Acer negundo,Acer negundo,n,Austria,Acer negundo
Acer platanoides,Acer platanoides,LC,Austria,Acer platanoides
Acer pseudoplatanus,Acer pseudoplatanus,LC,Austria,Acer pseudoplatanus
Acer pseudoplatanus,Acer pseudoplatanus,LC,Austria,"Acer pseudoplatanus mod. ""prostrata"""
Acer saccharinum,Acer saccharinum,n,Austria,Acer saccharinum
Acer tataricum s.str.,Acer tataricum s.str.,VU,Austria,Acer tataricum s.str.
Achillea aspleniifolia,Achillea aspleniifolia,EN,Austria,Achillea asplenifolia
Achillea atrata s.str.,Achillea atrata s.str.,LC,Austria,Achillea atrata s.str.
Achillea clavenae,Achillea clavenae,LC,Austria,Achillea clavenae
Achillea clusiana,Achillea clusiana,LC,Austria,Achillea clusiana
Achillea collina,Achillea collina,LC,Austria,Achillea collina
Achillea distans s.str.,Achillea distans s.str.,DD,Austria,Achillea distans s.str.
Achillea macrophylla,Achillea macrophylla,LC,Austria,Achillea macrophylla
Achillea millefolium subsp. millefolium,Achillea millefolium subsp. millefolium,LC,Austria,Achillea millefolium subsp. millefolium
Achillea millefolium subsp. sudetica,Achillea millefolium subsp. sudetica,LC,Austria,Achillea millefolium subsp. sudetica
Achillea moschata,Achillea moschata,LC,Austria,Achillea moschata
Achillea nobilis,Achillea nobilis,CR,Austria,Achillea nobilis
Achillea oxyloba,Achillea oxyloba,LC,Austria,Achillea oxyloba
Achillea pannonica,Achillea pannonica,VU,Austria,Achillea pannonica
Achillea pratensis,Achillea pratensis,LC,Austria,Achillea pratensis
Achillea ptarmica,Achillea ptarmica,VU,Austria,Achillea ptarmica
Achillea roseoalba,Achillea roseoalba,EN,Austria,Achillea roseoalba
Achillea setacea,Achillea setacea,EN,Austria,Achillea setacea
Achillea styriaca ined.,Achillea styriaca ined.,G,Austria,Achillea styriaca ined.
Achnatherum calamagrostis,Achnatherum calamagrostis,LC,Austria,Achnatherum calamagrostis
Achnatherum virescens,Achnatherum virescens,NT,Austria,Achnatherum virescens
Aconitum anthora,Aconitum anthora,VU,Austria,Aconitum anthora
Aconitum degenii subsp. paniculatum,Aconitum degenii subsp. paniculatum,LC,Austria,Aconitum degenii subsp. paniculatum
Aconitum lycoctonum subsp. lupicida ined.,Aconitum lycoctonum subsp. lupicida ined.,LC,Austria,Aconitum lycoctonum subsp. lupicida ined.
Aconitum lycoctonum subsp. lycoctonum,Aconitum lycoctonum subsp. lycoctonum,LC,Austria,Aconitum lycoctonum subsp. lycoctonum
Aconitum napellus subsp. compactum,Aconitum napellus subsp. compactum,LC,Austria,Aconitum napellus subsp. compactum
Aconitum napellus subsp. formosum,Aconitum napellus subsp. formosum,DD,Austria,Aconitum napellus subsp. formosum
Aconitum napellus subsp. lusitanicum,Aconitum napellus subsp. lusitanicum,LC,Austria,Aconitum napellus ssp. neomontanum
Aconitum pilipes,Aconitum pilipes,LC,Austria,Aconitum pilipes
Aconitum plicatum,Aconitum plicatum,?,Austria,Aconitum plicatum
Aconitum tauricum,Aconitum tauricum,LC,Austria,Aconitum tauricum
Aconitum variegatum s.str.,Aconitum variegatum s.str.,LC,Austria,Aconitum variegatum s.str.
Acorus calamus,Acorus calamus,n,Austria,Acorus calamus
Actaea europaea,Actaea europaea,RE,Austria,Actaea europaea
Actaea spicata,Actaea spicata,LC,Austria,Actaea spicata
Adenophora liliifolia,Adenophora liliifolia,EN,Austria,Adenophora liliifolia
Adenostyles alliariae,Adenostyles alliariae,LC,Austria,Adenostyles alliariae
Adenostyles alpina,Adenostyles alpina,LC,Austria,Adenostyles glabra
Adenostyles leucophylla,Adenostyles leucophylla,LC,Austria,Adenostyles leucophylla
Adiantum capillus-veneris,Adiantum capillus-veneris,n,Austria,Adiantum capillus-veneris
