Taxon,habitat
Verbascum blattaria,ruderal
Verbascum densiflorum,ruderal
Verbascum lychnitis,dry grassland
Verbascum phoeniceum,sand
Verbascum thapsus,ruderal
Veronica triloba,ruderal
Veronica verna,dry grassland
Viola ambigua,dry grassland
Viola riviniana,ruderal
Aster amellus,dry grassland
Galium verum agg.,dry grassland
Scabiosa canescens,dry grassland
Scabiosa ochroleuca,dry grassland
Stipa eriocaulis,dry grassland
Stipa smirnovii,dry grassland
Stipa species,dry grassland
Thymus pannonicus agg.,dry grassland
Achillea collina,dry grassland
Festuca ovina,dry grassland
Viscaria vulgaris,dry grassland
Plantago lanceolata,dry grassland
Potentilla argentea,dry grassland
Seseli annuum,dry grassland
Anthemis ruthenica,sand
Ornithopus perpusillus,sand
Astragalus arenarius,sand
Achillea setacea,sand
Dianthus arenarius,sand
Dianthus carthusianorum agg.,sand
Festuca ovina,sand
Koeleria macrantha,sand
Plantago lanceolata,sand
Poa pratensis agg.,sand
Veronica prostrata,sand
Filago germanica,sand
Silene conica,sand
Viola tricolor subsp. saxatilis,sand
Achillea ochroleuca,sand
Alkanna tinctoria,sand
Alyssum tortuosum,sand
Dianthus serotinus,sand
Ephedra distachya,sand
Iris arenaria,sand
Bassia laniflora,sand
Minuartia glomerata,sand
Polygonum arenarium,sand
Polygonum bellardii,sand
Silene borysthenica,sand
Erysimum canum,sand
Festuca vaginata subsp. vaginata,sand
Carex liparocarpos,sand
Achillea millefolium,sand
Achillea nobilis,dry grassland
Carduus collinus,dry grassland
Festuca valesiaca s. lat.,dry grassland
Alyssum alyssoides,dry grassland
Bromus squarrosus,dry grassland
Prunus mahaleb,dry grassland
Lithospermum officinale,dry grassland
Onosma tornensis,dry grassland
Poa badensis,dry grassland
Prunella laciniata,dry grassland
Stachys germanica,dry grassland
Cleistogenes serotina,dry grassland
Poa pannonica subsp. scabra,dry grassland
Allium senescens subsp. montanum,dry grassland
Asplenium septentrionale,dry grassland
Hylotelephium telephium agg.,dry grassland
Sempervivum wulfenii,dry grassland
Carex stenophylla,dry grassland
Convolvulus arvensis,dry grassland
Cynodon dactylon,dry grassland
Erodium cicutarium,dry grassland
Festuca brevipila,dry grassland
Festuca pulchra,dry grassland
Scorzonera cana,dry grassland
Veronica praecox,dry grassland
Salvia verticillata,dry grassland
Androsace elongata,dry grassland
Campanula macrostachya,dry grassland
Lathyrus pannonicus,dry grassland
Orobanche coerulescens,dry grassland
Peucedanum cervaria,dry grassland
